web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571539856-26050","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=50","Hillary Clinton rages against President Trump in commencement speech","https://www.foxnews.com/transcript/hillary-clinton-rages-against-president-trump-in-commencement-speech","Hillary Clinton rages against President Trump in commencement speech","Hillary Clinton rages against President Trump in commencement speech","","May 30","WILLIAMS: Yes, and I think, again, I think we're all in agreement here. I think that you have less likelihood to really think about what's in front of you. You're skimming. You're having quick emotional reactions, as Jesse said."
"1571539947-26346","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=37","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","https://www.foxnews.com/transcript/guiliani-i-was-investigating-hillary-clinton-and-the-democrats-cooperating-with-ukrainians","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","","September 30","(END VIDEO CLIP)"
"1571539947-26364","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=37","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","https://www.foxnews.com/transcript/guiliani-i-was-investigating-hillary-clinton-and-the-democrats-cooperating-with-ukrainians","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","","September 30","Nothing."
"1571540174-27021","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=14","Hillary Clinton calls Trump a 'corrupt human tornado'","https://www.foxnews.com/transcript/hillary-clinton-calls-trump-a-corrupt-human-tornado","Hillary Clinton calls Trump a 'corrupt human tornado'","Hillary Clinton calls Trump a 'corrupt human tornado'","","September 27","CARLSON: California has already become tragically famous as a ruined paradise. It's once beautiful cities are now covered in waste, needles and tent cities. Now, it has a new self-inflicted problem: organized shoplifting rings."
"1571539993-26659","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=32","Giuliani: Ukrainians brought me substantial evidence of Collusion with Hillary Clinton, other top Democrats","https://www.foxnews.com/transcript/giuliani-ukrainians-brought-me-substantial-evidence-of-collusion-with-hillary-clinton-other-top-democrats","Giuliani: Ukrainians brought me substantial evidence of Collusion with Hillary Clinton, other top Democrats","Giuliani: Ukrainians brought me substantial evidence of Collusion with Hillary Clinton, other top Democrats","","October 2","The president just raised a whopping $125 million in the third quarter. A new poll has the president's approval rating, yes, climbing to a year-long high. And, by the way, the mob might not like it, but under Article II Section 3 of the United States Constitution, the president has a sworn duty to, quote, well, take care that the laws be faithfully executed. That would mean investigating election interference like the Hillary campaign did by paying for a dirty Russian dossier and like what's been going on in Ukraine. That's right, the weaponizationn of the intelligence community."
"1571540259-27564","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=3","Spoiler alert? Hillary Clinton claims Russia uses candidates as assets","https://www.foxnews.com/transcript/spoiler-alert-hillary-clinton-claims-russia-uses-candidates-as-assets","Spoiler alert? Hillary Clinton claims Russia uses candidates as assets","Spoiler alert? Hillary Clinton claims Russia uses candidates as assets","","1 day ago","BAIER: One week in D.C."
"1571539856-26113","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=50","Hillary Clinton rages against President Trump in commencement speech","https://www.foxnews.com/transcript/hillary-clinton-rages-against-president-trump-in-commencement-speech","Hillary Clinton rages against President Trump in commencement speech","Hillary Clinton rages against President Trump in commencement speech","","May 30","(CROSSTALK)"
"1571539947-26490","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=37","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","https://www.foxnews.com/transcript/guiliani-i-was-investigating-hillary-clinton-and-the-democrats-cooperating-with-ukrainians","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","Guiliani: I was investigating Hillary Clinton and the Democrats cooperating with Ukrainians","","September 30","Karl Rove, let's get your take on this. It's like your white board take. I don't see this working out well especially with the liability of Biden and I see another boomerang coming really quickly and I don't think the media is going to be able to spin out of the Biden aspect of this and blame Trump for what was an innocent phone call."
"1571539856-26074","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=50","Hillary Clinton rages against President Trump in commencement speech","https://www.foxnews.com/transcript/hillary-clinton-rages-against-president-trump-in-commencement-speech","Hillary Clinton rages against President Trump in commencement speech","Hillary Clinton rages against President Trump in commencement speech","","May 30","PAVLICH: Those are the ones that get the most likes."
"1571540253-27371","https://www.foxnews.com/search-results/search?q=hillary%20clinton&ss=fn&start=4","Tulsi Gabbard delivers stunning rebuke of Hillary Clinton","https://www.foxnews.com/transcript/tulsi-gabbard-delivers-stunning-rebuke-of-hillary-clinton","Tulsi Gabbard delivers stunning rebuke of Hillary Clinton","Tulsi Gabbard delivers stunning rebuke of Hillary Clinton","","1 day ago","GUTFELD: I figured everybody was going to say the wife. You would avoid--"
